Shuffle0,Shuffle1,Shuffle2,Shuffle3,Shuffle4,Shuffle5,Shuffle6,Shuffle7,Shuffle8,Shuffle9,Shuffle10,Shuffle11,Shuffle12
AS,2S,4S,8S,3D,6C,2H,10D,7H,KS,KD,KH,AS
2S,4S,8S,3D,6C,2H,10D,7H,KS,KD,KH,AS,2S
3S,6S,QS,JD,9H,9S,5D,10C,7C,KC,AC,QH,3S
4S,8S,3D,6C,2H,10D,7H,KS,KD,KH,AS,2S,4S
5S,10S,7D,AH,QD,JH,5S,10S,7D,AH,QD,JH,5S
6S,QS,JD,9H,9S,5D,10C,7C,KC,AC,QH,3S,6S
7S,AD,2C,10H,7S,AD,2C,10H,7S,AD,2C,10H,7S
8S,3D,6C,2H,10D,7H,KS,KD,KH,AS,2S,4S,8S
9S,5D,10C,7C,KC,AC,QH,3S,6S,QS,JD,9H,9S
10S,7D,AH,QD,JH,5S,10S,7D,AH,QD,JH,5S,10S
JS,9D,5H,4D,8C,JC,5C,4H,6D,QC,3C,8H,JS
QS,JD,9H,9S,5D,10C,7C,KC,AC,QH,3S,6S,QS
KS,KD,KH,AS,2S,4S,8S,3D,6C,2H,10D,7H,KS
AD,2C,10H,7S,AD,2C,10H,7S,AD,2C,10H,7S,AD
2D,4C,6H,2D,4C,6H,2D,4C,6H,2D,4C,6H,2D
3D,6C,2H,10D,7H,KS,KD,KH,AS,2S,4S,8S,3D
4D,8C,JC,5C,4H,6D,QC,3C,8H,JS,9D,5H,4D
5D,10C,7C,KC,AC,QH,3S,6S,QS,JD,9H,9S,5D
6D,QC,3C,8H,JS,9D,5H,4D,8C,JC,5C,4H,6D
7D,AH,QD,JH,5S,10S,7D,AH,QD,JH,5S,10S,7D
8D,3H,8D,3H,8D,3H,8D,3H,8D,3H,8D,3H,8D
9D,5H,4D,8C,JC,5C,4H,6D,QC,3C,8H,JS,9D
10D,7H,KS,KD,KH,AS,2S,4S,8S,3D,6C,2H,10D
JD,9H,9S,5D,10C,7C,KC,AC,QH,3S,6S,QS,JD
QD,JH,5S,10S,7D,AH,QD,JH,5S,10S,7D,AH,QD
KD,KH,AS,2S,4S,8S,3D,6C,2H,10D,7H,KS,KD
AC,QH,3S,6S,QS,JD,9H,9S,5D,10C,7C,KC,AC
2C,10H,7S,AD,2C,10H,7S,AD,2C,10H,7S,AD,2C
3C,8H,JS,9D,5H,4D,8C,JC,5C,4H,6D,QC,3C
4C,6H,2D,4C,6H,2D,4C,6H,2D,4C,6H,2D,4C
5C,4H,6D,QC,3C,8H,JS,9D,5H,4D,8C,JC,5C
6C,2H,10D,7H,KS,KD,KH,AS,2S,4S,8S,3D,6C
7C,KC,AC,QH,3S,6S,QS,JD,9H,9S,5D,10C,7C
8C,JC,5C,4H,6D,QC,3C,8H,JS,9D,5H,4D,8C
9C,9C,9C,9C,9C,9C,9C,9C,9C,9C,9C,9C,9C
10C,7C,KC,AC,QH,3S,6S,QS,JD,9H,9S,5D,10C
JC,5C,4H,6D,QC,3C,8H,JS,9D,5H,4D,8C,JC
QC,3C,8H,JS,9D,5H,4D,8C,JC,5C,4H,6D,QC
KC,AC,QH,3S,6S,QS,JD,9H,9S,5D,10C,7C,KC
AH,QD,JH,5S,10S,7D,AH,QD,JH,5S,10S,7D,AH
2H,10D,7H,KS,KD,KH,AS,2S,4S,8S,3D,6C,2H
3H,8D,3H,8D,3H,8D,3H,8D,3H,8D,3H,8D,3H
4H,6D,QC,3C,8H,JS,9D,5H,4D,8C,JC,5C,4H
5H,4D,8C,JC,5C,4H,6D,QC,3C,8H,JS,9D,5H
6H,2D,4C,6H,2D,4C,6H,2D,4C,6H,2D,4C,6H
7H,KS,KD,KH,AS,2S,4S,8S,3D,6C,2H,10D,7H
8H,JS,9D,5H,4D,8C,JC,5C,4H,6D,QC,3C,8H
9H,9S,5D,10C,7C,KC,AC,QH,3S,6S,QS,JD,9H
10H,7S,AD,2C,10H,7S,AD,2C,10H,7S,AD,2C,10H
JH,5S,10S,7D,AH,QD,JH,5S,10S,7D,AH,QD,JH
QH,3S,6S,QS,JD,9H,9S,5D,10C,7C,KC,AC,QH
KH,AS,2S,4S,8S,3D,6C,2H,10D,7H,KS,KD,KH
